"","...1","Player","Position 1","Position 2","Age","Team","Games Played","Field Goal Percentage","3 Point Percentage","2 Point Percentage","Free Throw Percentage","Offensive Rebounds Per Game","Defensive Rebounds Per Game","Assists Per Game","Steals Per Game","Blocks Per Game","Points Per Game","Average Fantasy Points","Total Fantasy Points"
"485",644,"Ricky Rubio","PG",NA,31,"CLE",34,0.363,0.339,0.38,0.854,0.4,3.7,6.6,1.4,0.2,13.1,34.02,1156.68
"486",645,"D'Angelo Russell","PG",NA,25,"MIN",65,0.411,0.34,0.492,0.825,0.4,2.9,7.1,1,0.3,18.1,38.725,2517.125
"487",646,"Matt Ryan","SF",NA,24,"BOS",1,0.2,0.2,0,0,0,0,0,1,0,3,5.15,5.15
"488",647,"Domantas Sabonis","C","PF",25,"TOT",62,0.573,0.312,0.623,0.741,3.2,8.9,5.2,1,0.4,18.9,46.7,2895.4
"489",650,"Olivier Sarr","C",NA,22,"OKC",22,0.574,0.448,0.625,0.828,1.5,2.7,0.9,0.3,0.7,7,16.345,359.59
"490",651,"Tomá Satoransk?","SG",NA,30,"TOT",55,0.377,0.208,0.442,0.796,0.5,1.8,3.3,0.5,0.1,3.6,13.83,760.65
"491",655,"Jordan Schakel","SG",NA,23,"WAS",4,0.091,0.167,0,1,0.5,1.5,0,0.3,0,1.3,4.315,17.26
"492",656,"Admiral Schofield","SF",NA,24,"ORL",38,0.419,0.329,0.56,0.8,0.4,1.9,0.7,0.1,0.1,3.8,8.42,319.96
"493",657,"Dennis Schröder","SG","PG",28,"TOT",64,0.431,0.344,0.477,0.853,0.5,2.8,4.6,0.8,0.1,13.5,28.38,1816.32
"494",660,"Tre Scott","SF",NA,25,"CLE",2,0.5,0,0.6,0,0.5,0.5,0,0.5,0.5,3,6.6,13.2
"495",661,"Jay Scrubb","SG",NA,21,"LAC",18,0.391,0.286,0.48,0.7,0.1,0.8,0.4,0.2,0.2,2.7,5.52,99.36
"496",662,"Wayne Selden","SG",NA,27,"NYK",3,0.25,0.5,0,0.5,0,0.3,0.3,0,0,1.7,2.685,8.055
"497",663,"Alperen Þengün","C",NA,19,"HOU",72,0.474,0.248,0.539,0.711,1.9,3.5,2.6,0.8,0.9,9.6,25.14,1810.08
"498",664,"Collin Sexton","SG",NA,23,"CLE",11,0.45,0.244,0.538,0.744,1.2,2.1,2.1,0.9,0,16,26.4,290.4
"499",665,"Landry Shamet","SG",NA,24,"PHO",69,0.394,0.368,0.45,0.84,0.2,1.6,1.6,0.4,0.1,8.3,14.815,1022.235
"500",666,"Day'Ron Sharpe","PF",NA,20,"BRK",32,0.577,0.286,0.592,0.585,2.5,2.5,0.5,0.3,0.5,6.2,15.285,489.12
"501",667,"Pascal Siakam","PF",NA,27,"TOR",68,0.494,0.344,0.527,0.749,1.9,6.6,5.3,1.3,0.6,22.8,47.81,3251.08
"502",668,"Chris Silva","PF",NA,25,"TOT",10,0.533,0,0.533,0.833,1.3,2.3,0.7,0,0.1,2.6,8.545,85.45
"503",671,"Marko Simonovic","C",NA,22,"CHI",9,0.267,0.2,0.3,0.727,0.6,0.6,0,0.1,0.1,1.9,3.885,34.965
"504",672,"Anfernee Simons","SG",NA,22,"POR",57,0.443,0.405,0.49,0.888,0.5,2.2,3.9,0.5,0.1,17.3,29.785,1697.745
"505",673,"Zavier Simpson","PG",NA,24,"OKC",4,0.365,0.125,0.409,1,0.5,4.8,7.5,1.3,1,11,36.67,146.68
"506",674,"Jericho Sims","PF",NA,23,"NYK",41,0.722,0,0.722,0.414,1.5,2.6,0.5,0.3,0.5,2.2,9.95,407.95
"507",675,"Deividas Sirvydis","SG",NA,21,"DET",3,0.1,0.143,0,0,0,2,0.3,1,0.3,1,6.655,19.965
"508",676,"Javonte Smart","PG",NA,22,"TOT",17,0.317,0.296,0.333,0.833,0.3,1.1,0.9,0.4,0.2,3,7.755,131.835
"509",679,"Marcus Smart","PG",NA,27,"BOS",71,0.418,0.331,0.506,0.793,0.6,3.2,5.9,1.7,0.3,12.1,32.2,2286.2
"510",680,"Dennis Smith Jr.","PG",NA,24,"POR",37,0.418,0.222,0.451,0.656,0.5,1.8,3.6,1.2,0.3,5.6,18.385,680.245
"511",681,"Ish Smith","PG",NA,33,"TOT",65,0.43,0.373,0.441,0.625,0.4,1.8,3.8,0.7,0.4,6.3,18.615,1209.975
"512",684,"Jalen Smith","PF",NA,21,"TOT",51,0.503,0.328,0.596,0.765,2,4,0.5,0.3,0.8,9.2,20.285,1034.535
"513",687,"Xavier Sneed","SF",NA,24,"TOT",9,0.2,0.125,0.5,0,0.2,0.4,0.1,0,0,0.6,1.525,13.725
"514",690,"Tony Snell","SG",NA,30,"TOT",53,0.404,0.352,0.558,1,0.3,1.6,0.5,0.3,0.2,3.5,7.915,419.495
"515",693,"Jaden Springer","SG",NA,19,"PHI",2,1,0,1,0,0.5,0.5,0,0,1,1,4.75,9.5
"516",694,"Cassius Stanley","SG",NA,22,"DET",9,0.413,0.235,0.517,1,0.6,1.6,0.4,0.6,0.2,5.8,11.12,100.08
"517",695,"Nik Stauskas","SG",NA,28,"TOT",8,0.357,0.4,0.25,0.667,0.1,0.3,0.3,0,0,2.3,3.44,27.52
"518",698,"Lance Stephenson","SG","SF",31,"TOT",46,0.455,0.3,0.515,0.788,0.3,2.5,3.6,0.5,0.1,8.3,19.875,914.25
"519",701,"Lamar Stevens","PF",NA,24,"CLE",63,0.489,0.277,0.543,0.707,0.7,1.9,0.7,0.5,0.3,6.1,12.51,788.13
"520",702,"Isaiah Stewart","C",NA,20,"DET",71,0.51,0.326,0.529,0.718,3.2,5.5,1.2,0.3,1.1,8.3,24.61,1747.31
"521",703,"Max Strus","SF",NA,25,"MIA",68,0.441,0.41,0.557,0.792,0.4,2.6,1.4,0.4,0.2,10.6,18.51,1258.68
"522",704,"Jalen Suggs","PG",NA,20,"ORL",48,0.361,0.214,0.443,0.773,0.5,3,4.4,1.2,0.4,11.8,28.005,1344.24
"523",705,"Craig Sword","SG",NA,28,"WAS",3,0.75,0,1,0,0,0,0.3,1.3,0,2,5.255,15.765
"524",706,"Keifer Sykes","PG",NA,28,"IND",32,0.363,0.3,0.42,0.882,0.3,1.2,1.9,0.4,0.1,5.6,12.2,390.4
"525",707,"Jae'Sean Tate","SF",NA,26,"HOU",78,0.498,0.312,0.569,0.707,1.7,3.7,2.8,0.9,0.5,11.8,27,2106
"526",708,"Jayson Tatum","SF",NA,23,"BOS",76,0.453,0.353,0.524,0.853,1.1,6.9,4.4,1,0.6,26.9,49.195,3738.82
"527",709,"Terry Taylor","SG",NA,22,"IND",33,0.614,0.316,0.676,0.706,2.9,2.3,1.2,0.4,0.2,9.6,19.87,655.71
"528",710,"Garrett Temple","SG",NA,35,"NOP",59,0.376,0.319,0.473,0.683,0.5,1.9,1.3,0.7,0.4,5.2,13.075,771.425
"529",711,"Emanuel Terry","PF",NA,25,"PHO",3,0,0,0,0,2.7,2.3,0.7,0.3,0,0,7.915,23.745
"530",712,"Tyrell Terry","PG",NA,21,"MEM",2,1,0,1,0,0,0,0,0,0,1,1.05,2.1
"531",713,"Jon Teske","C",NA,24,"MEM",3,0,0,0,0,0,0.7,0.3,0.3,0,0,1.96,5.88
"532",714,"Daniel Theis","C",NA,29,"TOT",47,0.519,0.308,0.641,0.681,1.3,3.6,0.9,0.4,0.7,8.2,18.59,873.73
"533",717,"Brodric Thomas","SG",NA,25,"BOS",12,0.444,0.222,0.667,0.6,0.2,0.7,0.9,0.1,0.1,1.8,5.06,60.72
"534",718,"Cam Thomas","SG",NA,20,"BRK",67,0.433,0.27,0.52,0.829,0.2,2.2,1.2,0.5,0.1,8.5,15.175,1016.725
"535",719,"Isaiah Thomas","PG",NA,32,"TOT",22,0.401,0.337,0.464,0.846,0.2,1.1,1.5,0.3,0.2,8.4,14.21,312.62
"536",723,"Matt Thomas","SG",NA,27,"CHI",40,0.41,0.385,0.465,0.8,0.1,1.2,0.5,0.2,0.1,4,7.28,291.2
"537",724,"Klay Thompson","SG",NA,31,"GSW",32,0.429,0.385,0.477,0.902,0.5,3.4,2.8,0.5,0.5,20.4,33.385,1068.32
"538",725,"Tristan Thompson","PF",NA,30,"TOT",57,0.528,0.333,0.53,0.526,2.1,2.9,0.6,0.4,0.4,6,15.17,864.69
"539",729,"JT Thor","PF",NA,19,"CHO",33,0.436,0.259,0.607,0.6,0.3,1,0.6,0.2,0.3,2,5.885,194.205
"540",730,"Matisse Thybulle","SG",NA,24,"PHI",66,0.5,0.313,0.673,0.791,0.6,1.7,1.1,1.7,1.1,5.7,16.875,1113.75
"541",731,"Killian Tillie","C",NA,23,"MEM",36,0.339,0.314,0.39,0.625,0.6,1.1,0.6,0.6,0.4,3.3,8.79,316.44
"542",732,"Xavier Tillman Sr.","PF",NA,23,"MEM",53,0.454,0.204,0.527,0.648,1.2,1.8,1.2,0.9,0.3,4.8,13.38,709.14
"543",733,"Isaiah Todd","PF",NA,20,"WAS",12,0.269,0.25,0.3,0.333,0.3,0.8,0.3,0.3,0.2,1.7,4.735,56.82
